,energy low [eV],energy high [eV],fg,cg
0,1000.0,10000.0,0.0,0.0
1,10000.0,20000.0,0.0,0.0
2,20000.0,30000.0,0.0,0.0
3,30000.0,45000.0,2.934339283340403e-06,5.8e-08
4,45000.0,60000.0,4.166702291871061e-05,7.73e-07
5,60000.0,70000.0,9.589221296442887e-05,1.7830000000000001e-06
6,70000.0,75000.0,8.226297898877058e-05,1.5389999999999996e-06
7,75000.0,100000.0,0.0009487128661996843,1.782e-05
8,100000.0,150000.0,0.005984405564891054,0.000113978
9,150000.0,200000.0,0.008674921700360164,0.000174554
10,200000.0,300000.0,0.04689229741494717,0.000822353
11,300000.0,400000.0,0.03326764392689947,0.0007081329999999999
12,400000.0,450000.0,0.011550774771154333,0.00028083199999999996
13,450000.0,510000.0,0.011447321506996379,0.000295756
14,510000.0,512000.0,0.0012735180554952596,2.9902e-05
15,512000.0,600000.0,0.013552848837129816,0.000374049
16,600000.0,700000.0,0.012613445822288714,0.00036867800000000005
17,700000.0,800000.0,0.010766588310237739,0.000329158
18,800000.0,1000000.0,0.01837318909887415,0.0005860189999999999
19,1000000.0,1330000.0,0.02555117864555661,0.0008554839999999999
20,1330000.0,1340000.0,0.0007187705717301364,2.4585999999999998e-05
21,1340000.0,1500000.0,0.011363887933043593,0.00039185999999999995
22,1500000.0,1660000.0,0.011074125595749159,0.000386419
23,1660000.0,2000000.0,0.023157295111917595,0.0008198270000000001
24,2000000.0,2500000.0,2.595951438671278,0.05770326
25,2500000.0,3000000.0,4.96699752583353e-05,1.1550000000000002e-06
26,3000000.0,3500000.0,4.065696128773134e-05,9.800000000000001e-07
27,3500000.0,4000000.0,3.7353509879786985e-05,8.720000000000001e-07
28,4000000.0,4500000.0,3.0948533791098924e-05,7.210000000000001e-07
29,4500000.0,5000000.0,3.830022942286845e-05,8.760000000000001e-07
30,5000000.0,5500000.0,2.7041448399638052e-05,6.38e-07
31,5500000.0,6000000.0,2.617929975897445e-05,6.21e-07
32,6000000.0,6500000.0,2.2870453158017207e-05,5.45e-07
33,6500000.0,7000000.0,2.5294158605955713e-05,6.049999999999999e-07
34,7000000.0,7500000.0,2.3227316342794146e-05,5.34e-07
35,7500000.0,8000000.0,2.00187444738147e-05,4.809999999999999e-07
36,8000000.0,10000000.0,0.0010389540343853333,2.205e-05
37,10000000.0,12000000.0,0.0,0.0
38,12000000.0,14000000.0,0.0,0.0
39,14000000.0,20000000.0,0.0,0.0
40,20000000.0,30000000.0,0.0,0.0
41,30000000.0,50000000.0,0.0,0.0
